timestamp,db,query_name,run_index,elapsed_ms,rowcount
2025-11-07T13:46:14.677201,ts,group_by_device,1,452.7268409729004,20
2025-11-07T13:46:15.051143,ts,group_by_device,2,373.7924098968506,20
2025-11-07T13:46:15.430810,ts,group_by_device,3,379.5201778411865,20
2025-11-07T13:46:15.814476,ts,group_by_device,4,383.5279941558838,20
2025-11-07T13:46:16.191225,ts,group_by_device,5,376.6043186187744,20
2025-11-07T13:46:16.564896,ts,group_by_device,6,373.53992462158203,20
2025-11-07T13:46:16.949076,ts,group_by_device,7,384.04273986816406,20
2025-11-07T13:46:17.355015,ts,group_by_device,8,405.78222274780273,20
2025-11-07T13:46:17.740134,ts,group_by_device,9,384.9973678588867,20
2025-11-07T13:46:18.120876,ts,group_by_device,10,380.5196285247803,20
