timestamp,db,query_name,run_index,elapsed_ms,rowcount
2025-11-08T15:39:36.973010,pg,low_battery_warn,1,263.6597156524658,1
2025-11-08T15:39:38.197003,pg,low_battery_warn,2,291.81480407714844,1
2025-11-08T15:39:39.559240,pg,low_battery_warn,3,296.0779666900635,1
2025-11-08T15:39:40.968974,pg,low_battery_warn,4,362.68067359924316,1
2025-11-08T15:39:42.434294,pg,low_battery_warn,5,273.15306663513184,1
2025-11-08T15:39:45.502557,pg,low_battery_warn,6,363.13486099243164,1
2025-11-08T15:39:48.247607,pg,low_battery_warn,7,309.6909523010254,1
2025-11-08T15:39:50.606077,pg,low_battery_warn,8,275.99072456359863,1
2025-11-08T15:39:52.119579,pg,low_battery_warn,9,411.8642807006836,1
2025-11-08T15:39:53.673426,pg,low_battery_warn,10,278.5773277282715,1
